"file","mid","description","score"
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0060.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0061.png","/m/06ntj","sports",0.98569548
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0061.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0061.png","/m/01445t","athlete",0.87630814
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0061.png","/m/08fgwk","contact sport",0.81818181
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0061.png","/m/05kc29","combat sport",0.72727275
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0062.png","/m/06ntj","sports",0.98453933
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0062.png","/m/0c02pp7","athletics",0.89867449
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0062.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0062.png","/m/07bs0","tennis",0.85614407
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0062.png","/m/07p82rh","human action",0.80531508
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0063.png","/m/06ntj","sports",0.98576158
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0063.png","/m/05b0n7k","outdoor recreation",0.70833033
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0063.png","/m/01f6l","bandy",0.69997412
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0063.png","/m/09qf5","winter sport",0.66666669
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0063.png","/m/0849l","weightlifting",0.64608115
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0064.png","/m/06ntj","sports",0.98514467
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0064.png","/m/01g317","person",0.93321615
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0064.png","/m/07p82rh","human action",0.86078155
