"file","mid","description","score","boundingPoly.x1","boundingPoly.x2","boundingPoly.x3","boundingPoly.x4","boundingPoly.y1","boundingPoly.y2","boundingPoly.y3","boundingPoly.y4"
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0043.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0044.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0045.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0046.png","/m/0p58j","Australian Open Tennis Tournament",0.43606871,37,93,93,37,69,69,144,144
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0047.png","/g/11bwn3hffh","Australian Open Tennis Tournament",0.2699542,51,87,87,51,48,48,103,103
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0048.png","/m/0p58j","Australian Open Tennis Tournament",0.4205879,42,765,765,42,68,68,441,441
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0049.png","/m/0p58j","Australian Open Tennis Tournament",0.4069083,37,109,109,37,74,74,144,144
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0050.png","/m/0p58j","Australian Open Tennis Tournament",0.41868946,37,85,85,37,69,69,138,138
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0050.png","/m/011_65","Emirates",0.4087905,599,721,721,599,310,310,375,375
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0051.png","/m/01_1kk","Paris Saint-Germain F.C.",0.47608003,619,722,722,619,309,309,370,370
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0051.png","/m/0p58j","Australian Open Tennis Tournament",0.44503176,41,146,146,41,48,48,143,143
